English,Catalan
you,vostè
i,i
the,el
to,a
a,a
s,s
it,això
and,i
that,això
t,t
of,de
is,és
in,en
what,què
we,nosaltres
me,jo
this,això
he,ell
for,per
my,meu
on,activat
have,tenir
your,teu
do,fer
was,era
m,m
no,no
not,no
be,ser
are,són
don,don
re,re
know,saber
can,llauna
with,amb
but,però
all,tots
so,tan
just,només
there,allà
here,aquí
they,ells
like,M'agrada
ll,ll
get,aconseguir
she,ella
go,anar
if,si
right,dret
out,fora
about,Sobre
up,amunt
at,a les
him,ell
now,ara
oh,oh
one,un
come,vine
well,bé
her,ella
how,com
yeah,sí
ve,ve
will,voluntat
got,obtingut
want,voler
think,pensar
as,com
see,veure
did,va fer
good,bo
who,OMS
why,Per què
from,des de
let,deixar
his,seva
yes,sí
when,Quan
going,anant
time,temps
an,un
okay,bé
back,esquena
look,mira
us,nosaltres
would,ho faria
them,ells
where,on
were,eren
take,prendre
then,aleshores
had,tenia
or,o
been,estat
our,nostre
gonna,serà
tell,dir
really,realment
man,home
some,alguns
say,dir
hey,hola
could,podria
d,d
didn,no ho va fer
by,per
need,necessitat
something,alguna cosa
has,té
too,també
more,més
way,manera
down,cap avall
make,fer
very,molt
never,mai
only,només
people,gent
over,acabat
because,perquè
little,poc
please,si us plau
love,amor
should,hauria
mean,significar
said,dit
sorry,ho sento
give,donar
off,apagat
am,soc
thank,gràcies
any,cap
two,dos
even,fins i tot
much,molt
doing,fent
sure,segur
thing,cosa
these,aquests
help,ajuda
first,primer
into,a
anything,qualsevol cosa
still,encara
find,trobar
life,vida
nothing,res
sir,senyor
day,dia
god,Déu
work,treball
their,els seus
uh,eh
again,de nou
maybe,pot ser
must,haver de
before,abans
other,altres
wait,espera
stop,Atura
call,anomenada
after,després
won,va guanyar
talk,parlar
away,lluny
than,que
thought,pensat
home,casa
night,nit
put,posar
great,genial
those,aquells
last,darrer
better,millor
everything,tot
told,va dir
mr.,Sr.
new,nou
things,coses
always,sempre
keep,mantenir
long,llarg
years,anys
leave,marxar
does,fa
money,diners
around,al voltant
doesn,no
name,nom
place,lloc
ever,sempre
feel,sentir
guys,nois
father,pare
guy,paio
made,fet
old,vell
isn,isn
which,quin
big,gran
lot,lot
done,fet
hello,Hola
nice,bonic
believe,creure
girl,noia
someone,algú
fine,bé
thanks,gràcies
wanted,volia
kind,amable
coming,arribant
house,casa
every,cada
ok,D'acord
through,a través de
being,ser
course,curs
stay,quedar-se
left,esquerra
dad,pare
enough,suficient
happened,succeït
came,va venir
may,maig
mother,mare
wrong,mal
world,món
bad,dolent
might,podria
three,tres
today,avui
listen,escolta
another,un altre
understand,entendre
hear,escoltar
remember,recorda
ask,preguntar
own,propi
same,mateix
show,espectacle
else,altra cosa
kill,matar
talking,parlant
found,trobat
next,Pròxim
getting,aconseguint
care,cura
car,cotxe
looking,mirant
son,fill
try,provar
woman,dona
went,va anar
hi,hola
dead,mort
many,molts
mind,ment
wasn,era
friend,amic
best,millor
mom,mare
hell,infern
morning,matí
trying,intentant
boy,noi
together,junts
yourself,tu mateix
job,feina
saw,va veure
family,família
real,real
without,sense
baby,nadó
room,habitació
wouldn,ho faria
already,ja
move,moure's
most,la majoria
seen,vist
live,viu
miss,senyoreta
actually,en realitat
huh,eh
shit,merda
both,tots dos
heard,sentit
once,un cop
ready,llest
head,cap
called,va trucar
used,utilitzat
idea,idea
knew,sabia
hold,aguantar
happy,feliç
door,porta
such,tal
fuck,merda
brother,germà
also,també
pretty,bonic
bit,bit
took,pres
haven,refugi
yet,encara
men,homes
whole,sencer
start,començar
use,utilitzar
while,mentre
since,des que
wife,dona
days,dies
guess,endevina
tomorrow,demà
matter,matèria
meet,trobar-se
bring,portar
tonight,aquesta nit
everyone,tothom
run,correr
wanna,vull
hard,dur
ah,ah
alone,sol
myself,jo mateix
school,escola
gone,anat
um,um
end,final
saying,dient
phone,telèfon
play,jugar
looks,aspecte
couldn,podria
fucking,merda
problem,problema
few,pocs
friends,amics
gotta,cal
ago,fa
open,obert
anyone,ningú
killed,morts
hope,esperança
face,cara
until,fins que
lost,perdut
police,policia
excuse,excusa
turn,torn
business,negocis
case,Caixa
wants,vol
says,diu
TRUE,VERITAT
die,morir
heart,cor
soon,aviat
each,cadascun
worry,preocupar-se
later,més tard
year,curs
watch,veure
music,música
hand,mà
having,tenint
probably,probablement
beautiful,bonic
doctor,metge
sit,seure
eat,menjar
thinking,pensant
young,jove
second,segon
working,treball
water,aigua
person,persona
part,part
kids,nens
late,tard
stuff,coses
exactly,exactament
under,sota
death,mort
minute,minut
pay,pagar
crazy,boig
forget,oblidar
everybody,tothom
kid,nen
change,canvi
gave,va donar
happen,passar
damn,maleïda
five,cinc
drink,beure
far,lluny
knows,sap
its,la seva
whatever,el que sigui
eyes,ulls
shut,tanca
aren,aren
hit,colpejar
taking,presa
easy,fàcil
times,vegades
check,comprovar
hands,mans
minutes,minuts
deal,acord
different,diferents
means,significa
point,punt
inside,dins
makes,fa
asked,va preguntar
somebody,algú
mine,el meu
making,fent
body,cos
afraid,por
sleep,dormir
chance,oportunitat
dear,estimada
quite,bastant
four,quatre
anyway,de totes maneres
close,Tanca
ain,ain
party,festa
fun,diversió
against,en contra
word,paraula
comes,ve
important,important
set,conjunt
shall,haurà
story,història
number,nombre
daughter,filla
least,almenys
waiting,esperant
hurt,ferit
wish,desitjar
moment,moment
fight,lluitar
week,setmana
husband,marit
girls,noies
rest,descans
married,casat
fire,foc
game,joc
nobody,ningú
mr,Sr
children,nens
side,costat
stand,parar
read,llegir
though,però
cut,tallar
started,va començar
sister,germana
supposed,suposada
between,entre
child,nen
goes,va
hours,hores
speak,parlar
women,dones
behind,darrere
almost,gairebé
truth,veritat
blood,sang
able,capaç
lady,senyora
anymore,més
playing,jugant
gets,aconsegueix
shot,tir
reason,raó
trouble,problemes
break,trencar
war,guerra
city,ciutat
walk,caminar
town,poble
trust,confiar
dr.,Dr.
met,conegut
office,oficina
question,pregunta
brought,portat
yours,teu
welcome,Benvingut
high,alt
wow,vaja
couple,parella
half,la meitat
died,mort
cool,guai
free,lliure
either,tampoc
seems,sembla
power,poder
whoa,vaja
bye,adéu
buy,comprar
telling,dient
honey,mel
tried,provat
front,davant
team,equip
answer,resposta
gun,arma de foc
boys,nois
line,línia
send,enviar
news,Notícies
stupid,estúpid
bed,llit
hurry,pressa
full,ple
months,mesos
save,guardar
sometimes,de vegades
become,convertir-se en
along,al llarg
hate,odi
food,menjar
outside,fora
light,llum
l,l
needs,necessitats
dog,gos
country,país
clear,clar
order,ordre
em,em
fact,fet
lord,senyor
captain,capità
six,sis
hot,calent
funny,divertida
black,negre
mrs.,mrs.
alive,viu
pick,collir
feeling,sensació
living,vivent
cause,causa
ahead,endavant
lose,perdre
king,rei
plan,pla
dinner,sopar
sighs,sospirs
sort,ordenar
leaving,marxant
shouldn,hauria
running,corrent
boss,cap
alright,bé
promise,promesa
taken,presa
safe,Caixa forta
ma,ma
book,llibre
sent,enviat
white,blanc
hour,hores
anybody,qualsevol
small,petit
perfect,perfecte
cause,causa
lives,vides
special,especial
parents,pares
s,s
john,Joan
himself,a si mateix
perhaps,potser
sounds,sons
serious,seriós
sick,malalt
company,empresa
ha,ha
scared,espantat
uncle,oncle
poor,pobre
red,vermell
past,passat
earth,terra
possible,possible
shoot,disparar
touch,tocar
sound,so
top,superior
ass,cul
laughs,rialles
cannot,no pot
asking,preguntant
win,guanyar
glad,content
control,control
hmm,hmm
human,humana
drive,conduir
hair,cabell
jack,jack
bitch,gossa
luck,sort
murder,assassinat
happens,passa
air,aire
ten,deu
daddy,pare
finally,finalment
chuckles,rialles
fast,ràpid
cold,refredat
seem,semblar
laughing,rient
words,paraules
hospital,hospital
street,carrer
hang,penjar
dance,dansa
meeting,reunió
till,fins a
others,altres
catch,agafar
follow,segueix
sense,sentit
sex,sexe
lie,mentida
evening,vespre
master,mestre
known,conegut
dream,somni
write,escriure
million,milions
voice,veu
sweet,dolça
rather,més aviat
felt,sentit
sign,signe
lucky,sort
somewhere,en algun lloc
bet,aposta
o,o
jesus,Jesús
longer,més llarg
calling,trucant
worked,treballat
quiet,tranquil
looked,mirava
less,menys
pull,estirar
beat,batre
careful,amb compte
coffee,cafè
return,tornar
secret,secret
weeks,setmanes
weren,eren
date,data
seeing,veient
fall,caure
given,donat
ooh,oh
fault,culpa
straight,recte
takes,pren
song,cançó
future,futur
gentlemen,senyors
loved,estimat
changed,canviat
road,carretera
calm,calma
wonderful,meravellós
mad,boig
turned,convertit
drop,tirar
ladies,senyores
learn,aprendre
step,pas
absolutely,absolutament
early,d'hora
explain,explicar
clean,net
piece,peça
yesterday,ahir
throw,llançar
picture,imatge
land,terra
feet,peus
wonder,meravella
questions,preguntes
speaking,parlant
worth,val la pena
darling,estimat
dude,tio
giving,donant
president,president
eye,ull
quick,ràpid
moving,movent-se
figure,figura
state,estat
strong,fort
sam,sam
none,cap
amazing,increïble
ones,uns
works,obres
act,actuar
needed,necessari
weird,estrany
law,Llei
worried,preocupat
report,informe
goodbye,adéu
missing,desaparegut
choice,elecció
happening,passant
chief,cap
wedding,casament
strange,estrany
general,general
pain,dolor
am,soc
kidding,broma
decided,decidit
ya,ja
pass,passar
tired,cansat
class,classe
officer,oficial
kept,guardada
wake,despertar
worse,pitjor
busy,ocupada
eh,eh
mistake,errada
kiss,petó
court,cort
building,edifici
finish,acabar
during,durant
age,edat
ship,vaixell
caught,atrapat
marry,casar-se
meant,significava
sell,vendre
dark,fosc
watching,mirant
system,sistema
suppose,suposar
evidence,proves
movie,pel·lícula
ride,passeig
t,t
completely,completament
mouth,boca
totally,totalment
birthday,aniversari
tv,televisió
forgive,perdonar
born,nascut
imagine,imagina't
information,informació
instead,en canvi
definitely,definitivament
security,seguretat
certainly,sens dubte
film,pel·lícula
month,mes
lying,estirat
unless,tret que
train,tren
seven,set
wear,desgast
clothes,roba
michael,miquel
hotel,hotel
christmas,Nadal
attack,atac
hasn,hasn
round,rodó
expect,esperar
sing,cantar
terrible,terrible
george,Jordi
bag,bossa
history,història
blue,blau
near,prop
broke,trencat
station,estació
seriously,seriosament
forever,per sempre
david,david
frank,Franc
except,excepte
thinks,pensa
message,missatge
entire,sencer
joe,joe
table,taula
talked,parlat
across,a través de
rock,roca
lovely,encantador
handle,gestionar
middle,mig
buddy,amic
paid,pagat
protect,protegir
using,utilitzant
floor,pis
ran,va córrer
swear,jurar
spend,Gastar
situation,situació
ring,anell
anywhere,on sigui
dangerous,perillós
bill,factura
york,york
army,exèrcit
lead,dirigir
bought,comprat
finished,acabat
fair,Fira
sun,sol
letter,carta
fool,ximple
attention,atenció
club,club
simple,senzill
interesting,interessant
space,espai
test,prova
box,Caixa
group,grup
single,solter
sitting,assegut
marriage,matrimoni
join,uneix-te
fear,por
d,d
peace,pau
forgot,oblidat
force,força
short,curt
normal,normal
charlie,charlie
present,present
enjoy,gaudir
mike,mike
crime,crim
horse,cavall
ground,terra
american,americà
count,comptar
area,zona
charge,carregar
honor,honor
lunch,dinar
miles,milles
radio,ràdio
idiot,idiota
ball,pilota
surprise,sorpresa
paper,paper
key,clau
boat,vaixell
quickly,ràpidament
gold,or
bar,bar
fish,peixos
mark,senyal
tom,tom
wearing,portant
crying,plorant
accident,accident
government,govern
eight,vuit
fell,va caure
cover,coberta
certain,cert
interested,interessats
deep,profunda
star,estrella
sea,mar
agree,acordar
problems,problemes
detective,detectiu
prison,presó
major,major
stick,pal
offer,oferta
difficult,difícil
smart,intel·ligent
personal,personals
record,registre
stopped,aturat
hide,amagar
whether,si
bank,banc
trip,viatge
relax,relaxa't
america,Amèrica
public,públic
list,llista
afternoon,tarda
brain,cervell
fix,arreglar
bastard,bastard
proud,orgullós
tea,te
service,servei
screaming,cridant
forward,endavant
angry,enfadat
park,parc
soul,ànima
fighting,lluitant
peter,pere
rich,ric
agent,agent
blow,cop
paul,pau
dress,vestit
mary,maria
missed,perduda
scene,escena
killing,matant
standing,dempeus
saved,guardat
mm,mm
respect,respecte
killer,assassí
ice,gel
mess,embolic
tough,dur
feels,se sent
church,Església
sad,trist
cell,cel·la
drunk,borratxo
share,Compartir
camera,càmera
mm-hmm,mm-hmm
within,dins
card,targeta
fly,volar
ben,ben
girlfriend,xicota
laugh,riure
smell,olor
broken,trencat
mum,mare
honest,honest
often,sovint
starting,començant
calls,trucades
y,y
spent,gastat
third,tercer
english,anglès
visit,visita
mama,mama
judge,jutge
window,finestra
hungry,famolenc
dare,atrevir-se
relationship,relació
moved,mogut
prove,demostrar
private,privat
wall,paret
seat,seient
i-i,i-i
position,posició
lieutenant,tinent
realize,adonar-se
lt,lt
especially,especialment
machine,màquina
walking,caminant
art,art
pleasure,plaer
bloody,sagnant
college,la universitat
french,francès
involved,implicats
cry,plorar
became,es va convertir
lived,viscut
impossible,impossible
obviously,evidentment
neither,tampoc
accept,acceptar
boyfriend,xicot
besides,a més
queen,reina
teacher,professor
cops,policies
sake,sake
loves,amors
carry,portar
teach,ensenyar
apartment,apartament
upset,molest
green,verd
la,la
liked,agradat
cute,bonic
evil,dolent
professor,professor
contact,contacte
joke,broma
cop,policia
huge,enorme
holy,Sant
store,botiga
jail,presó
likes,m'agrada
lawyer,advocat
doubt,dubte
continue,continuar
appreciate,apreciar
cat,gat
shop,botiga
driving,conduir
congratulations,felicitats
wrote,va escriure
village,poble
quit,sortir
field,camp
james,james
wine,vi
decision,decisió
south,sud
sleeping,dorment
slow,lent
laughter,riure
island,illa
glass,vidre
beginning,començament
cash,diners en efectiu
dying,morint
hundred,cent
whose,de qui
difference,diferència
plane,avió
push,empènyer
continues,continua
mmm,mmm
singing,cantant
eating,menjant
north,nord
mrs,mrs
tree,arbre
madam,senyora
gift,regal
truck,camió
putting,posant
bear,suportar
board,pissarra
grab,agafar
beer,cervesa
stuck,enganxat
magic,màgia
support,suport
rules,regles
grunts,grunyits
partner,soci
reach,arribar
wind,vent
colonel,coronel
max,màx
immediately,immediatament
seconds,segons
thousand,milers
gives,dóna
experience,experiència
cheers,ànims
victim,víctima
upon,sobre
computer,ordinador
christ,crist
planet,planeta
promised,promès
bus,autobús
henry,enric
dirty,brut
search,cerca
staying,quedar-se
dreams,somnis
arrest,aturar
holding,aguantant
suddenly,de sobte
usually,generalment
lots,lots
shoes,sabates
er,er
jump,saltar
rid,eliminar
yo,jo
knock,toc
owe,deure
harry,Harry
grow,créixer
worst,pitjor
river,riu
aunt,tia
patient,pacient
kitchen,cuina
aah,aah
fat,greix
passed,passat
m,m
final,final
summer,estiu
bob,bob
listening,escoltant
escape,escapar
everywhere,arreu
moon,lluna
arms,braços
turns,girs
address,adreça
ow,oi
match,partit
gasps,jadeja
grand,gran
yep,sí
shh,shh
nervous,nerviós
de,de
choose,triar
themselves,ells mateixos
decide,decidir
mate,company
drinking,bevent
press,premsa
bother,molestar
foot,peu
hadn,havia
blame,culpa
crap,merda
drugs,drogues
type,tipus
rings,anells
mission,missió
named,nomenat
heaven,el cel
ii,ii
picked,escollit
paris,parís
race,carrera
risk,risc
books,llibres
further,més lluny
danny,Danny
action,acció
allowed,permès
orders,ordres
learned,après
price,preu
arrived,va arribar
nick,efecte
otherwise,d'una altra manera
pictures,imatges
fit,encaixar
smoke,fum
favor,favor
played,jugat
notice,avís
awesome,genial
smile,somriure
director,director
guard,guàrdia
begin,començar
spot,taca
surprised,sorprès
innocent,innocent
narrator,narrador
herself,ella mateixa
london,Londres
feelings,sentiments
enemy,enemic
battle,batalla
ourselves,nosaltres mateixos
alex,àlex
dollars,dòlars
allow,permetre
nine,nou
gay,gai
department,departament
guilty,culpable
apart,a part
earlier,abans
duty,deure
jim,jim
suit,vestit
bell,timbre
west,oest
legs,cames
hero,heroi
destroy,destruir
stage,etapa
bunch,munt
according,segons
chicken,pollastre
bigger,més gran
grunting,grunyint
low,baix
helping,ajudar
admit,admetre
closed,tancat
names,noms
witness,testimoni
upstairs,a dalt
arm,braç
steal,robar
jimmy,jimmy
kick,puntada
twice,dues vegades
cross,creu
ways,maneres
sergeant,sergent
indeed,en efecte
gas,gas
keeping,mantenint
energy,energia
pregnant,embarassada
waste,malbaratament
helped,ajudat
fired,acomiadat
favorite,favorit
tony,tony
taste,gust
locked,tancat
places,llocs
writing,escriptura
adam,Adam
brothers,germans
starts,comença
prince,príncep
form,forma
sold,venut
silly,ximple
mention,esmentar
build,construir
throat,gola
hole,forat
figured,figurat
track,pista
ringing,sonant
lock,pany
leg,cama
above,a dalt
hiding,amagant-se
steve,steve
seemed,semblant
breakfast,esmorzar
engine,motor
written,escrit
complete,completa
video,vídeo
applause,aplaudiments
however,malgrat això
pressure,pressió
fresh,fresc
weapon,arma
sky,cel
ms.,Senyora.
stole,robat
study,estudiar
burn,cremar
reading,lectura
crowd,multitud
treat,tractar
roll,rotllo
double,doble
spirit,esperit
danger,perill
cost,cost
empty,buit
level,nivell
memory,memòria
itself,mateix
acting,actuació
interest,interès
nose,nas
plans,plans
following,següent
bathroom,bany
built,construït
closer,més a prop
ray,raig
sarah,sarah
band,banda
groans,gemecs
apparently,aparentment
excited,emocionat
richard,richard
losing,perdent
animals,animals
flight,vol
nature,naturalesa
raise,pujar
pop,pop
client,client
bomb,bomba
neck,coll
suspect,sospitós
warm,càlid
extra,extra
bottle,ampolla
van,furgoneta
heavy,pesat
mommy,mare
dogs,gossos
wild,salvatge
ridiculous,ridícul
simply,senzillament
lee,lee
animal,animal
showed,mostrat
billy,billy
shooting,disparant
keeps,guarda
camp,campament
guns,pistoles
medical,mèdic
shame,vergonya
hoping,esperant
whom,qui
bird,ocell
majesty,majestat
flowers,flors
famous,famós
asleep,adormit
beauty,bellesa
driver,conductor
keys,claus
rain,pluja
awful,horrible
large,gran
local,locals
deserve,mereix
goddamn,deu meu
stone,pedra
jane,jane
grace,gràcia
consider,considerar
weekend,cap de setmana
wondering,preguntant-se
lay,estirar
plenty,molt
willing,disposat
pants,pantalons
sweetheart,amor
skin,pell
excellent,excel · lent
asshole,idiota
beach,platja
c,c
faith,fe
beg,suplicar
fuckin,merda
responsible,responsable
military,militar
cheering,animant
opportunity,oportunitat
common,comú
bottom,inferior
german,alemany
whoever,qui sigui
cook,cuinar
walked,caminava
papers,papers
justice,justícia
hall,sala
commander,comandant
drug,droga
main,principal
knife,ganivet
devil,diable
necessary,necessaris
although,encara que
princess,princesa
lights,llums
flying,volant
dick,polla
rose,rosa
knowing,saber
clearly,clarament
hat,barret
agreed,convingut
johnny,Johnny
corner,cantonada
code,codi
note,nota
tommy,Tommy
due,degut
correct,correcte
apologize,disculpes
language,llenguatge
stars,estrelles
faster,més ràpid
cars,cotxes
folks,gent
bullshit,merda
i.,i.
fellow,company
several,diversos
grandma,àvia
shows,espectacles
leader,líder
leaves,fulles
restaurant,restaurant
east,est
shouting,cridant
blind,cec
ghost,fantasma
cup,tassa
gotten,aconseguit
tight,estret
conversation,conversa
tells,diu
lies,mentides
nor,ni tampoc
pulled,tirat
hanging,penjant
speed,velocitat
stories,històries
health,salut
advice,consell
held,retinguda
uh-huh,UH huh
murdered,assassinat
beyond,més enllà
rule,regla
hardly,amb prou feines
possibly,possiblement
inspector,inspector
cousin,cosí
trial,judici
emergency,emergència
ought,hauria
eddie,eddie
somehow,d'alguna manera
hearing,audició
states,estats
account,compte
spoke,parlava
file,dossier
understood,entès
angel,àngel
tape,cinta
milk,llet
powerful,potent
weapons,armes
practice,pràctica
manager,gerent
pardon,perdó
vote,votar
jake,jake
national,nacional
career,carrera
minister,ministre
super,súper
taught,ensenyat
robert,robert
biggest,el més gran
plays,juga
natural,natural
dancing,ballant
copy,còpia
plus,més
martin,martí
cake,pastís
freedom,llibertat
among,entre
breath,respiració
operation,funcionament
chris,cris
crew,tripulació
challenge,desafiament
market,mercat
meat,carn
towards,cap a
bringing,portant
dropped,va caure
student,estudiant
lied,va mentir
strength,força
size,mida
breathe,respirar
color,color
monster,monstre
loud,fort
photo,foto
aw,aw
nearly,gairebé
sight,vista
greatest,més gran
games,jocs
bridge,pont
dressed,vestit
arrested,detinguts
horrible,horrible
coach,entrenador
planning,planificació
checked,comprovat
breaking,trencament
noticed,notat
fantastic,fantàstic
screams,crits
serve,servir
ideas,idees
investigation,investigació
center,centre
older,més vell
pack,paquet
soldiers,soldats
nonsense,tonteries
doc,doc
project,projecte
training,formació
example,exemple
trick,truc
prepared,preparat
science,ciència
united,units
travel,viatjar
incredible,increïble
grandpa,avi
paying,pagant
character,personatge
teeth,dents
criminal,criminal
charles,carles
chinese,xinès
truly,veritablement
honestly,honestament
bro,germà
survive,sobreviure
bobby,bobby
target,objectiu
feed,alimentar
nurse,infermera
e,e
fake,fals
records,registres
breathing,la respiració
sweetie,carinyo
numbers,nombres
oil,oli
suicide,suïcidi
belong,pertànyer
whoo,vaja
perfectly,perfectament
amy,amy
forgotten,oblidat
remain,romandre
original,original
papa,papa
onto,cap a
concerned,preocupat
credit,crèdit
ugh,uf
invited,convidat
discuss,discutir
research,recerca
easier,més fàcil
view,vista
chair,cadira
hurts,fa mal
strike,colpejar
roger,roger
fill,omplir
condition,condició
mountain,muntanya
dr,Dr
nowhere,enlloc
sheriff,xèrif
kim,kim
turning,girant
brown,marró
recognize,reconèixer
heads,caps
audience,públic
all,tots
jealous,gelós
pretend,fingir
society,societat
finding,trobant
shirt,camisa
comfortable,còmode
meaning,significat
guest,convidat
pieces,peces
dry,sec
letting,lloguer
began,va començar
aye,sí
jeff,jeff
female,femella
release,alliberar
ho,ho
cards,targetes
pray,pregar
unfortunately,malauradament
balls,boles
destroyed,destruït
ended,acabat
universe,univers
prepare,preparar
opinion,opinió
movies,pel·lícules
soldier,soldat
wash,rentar
program,programa
heat,calor
usual,habitual
ticket,bitllet
stolen,robat
prefer,preferir
aware,conscient
surely,segurament
male,mascle
base,base
matters,qüestions
lift,aixecar
lab,laboratori
command,comandament
proof,prova
cream,crema
selling,venda
believed,creia
create,crear
h,h
afford,permetre's
sunday,diumenge
total,total
dumb,muda
threw,va llançar
france,França
birth,naixement
created,creat
realized,adonar-se'n
british,britànic
noise,soroll
nuts,fruits secs
students,estudiants
birds,ocells
social,socials
brilliant,brillant
bodies,cossos
tie,corbata
opened,obert
ours,nostre
bucks,diners
kevin,Kevin
mister,senyor
ugly,lleig
ryan,ryan
focus,focus
dan,dan
opens,s'obre
exist,existir
followed,seguit
england,Anglaterra
draw,sorteig
purpose,propòsit
letters,lletres
daniel,daniel
opening,obertura
bullet,bala
anna,anna
lately,darrerament
stayed,es va quedar
falling,caient
season,temporada
ends,acaba
suggest,suggerir
joy,alegria
distance,distància
responsibility,responsabilitat
whenever,sempre que
issue,assumpte
thousands,milers
process,procés
sword,espasa
shower,dutxa
weak,feble
fucked,fotut
lonely,solitària
happiness,felicitat
eric,eric
tiny,petit
desk,escriptori
pool,piscina
property,propietat
forced,forçat
settle,resoldre
indistinct,indistinta
weight,pes
received,rebut
gang,colla
bite,mossegada
friday,divendres
disappeared,desaparegut
interview,entrevista
expecting,esperant
kinda,una mica
surgery,cirurgia
horses,cavalls
mayor,alcalde
babe,nena
ancient,antiga
handsome,guapo
thomas,Tomàs
saturday,dissabte
staff,personal
lines,línies
unit,unitat
fan,ventilador
gentleman,senyor
introduce,introduir
fate,destí
split,dividir
recently,recentment
expected,esperat
add,afegir
ordered,ordenat
slowly,lentament
alarm,alarma
member,membre
slept,dormia
signed,signat
enter,entrar
spanish,espanyol
garden,jardí
brings,porta
brave,valent
pig,porc
model,model
finger,dit
medicine,medicament
access,accés
failed,fracassat
flat,plana
easily,fàcilment
discovered,descobert
based,basat
screw,cargol
insane,boig
cares,es preocupa
weather,el temps
fingers,dits
san,san
scott,Scott
path,Camí
soft,suau
harm,dany
style,estil
community,comunitat
sees,veu
basically,bàsicament
al,al
signal,senyal
nope,no
spare,de recanvi
speech,discurs
covered,cobert
shake,sacsejar
loose,solt
snow,neu
russian,rus
lake,llac
bright,brillant
roof,sostre
ohh,oh
sending,enviant
paint,pintura
