English,Catalan
remind,recordar
pal,amic
naked,nus
post,publicació
sugar,sucre
heading,encapçalament
streets,carrers
damage,dany
silence,silenci
doors,portes
pete,pete
ed,ed
success,èxit
wet,humit
nah,no
amount,quantitat
members,membres
kate,kate
manage,gestionar
safety,seguretat
returned,retornat
harder,més difícil
fbi,fbi
block,bloc
showing,mostrant
fancy,luxós
chef,xef
contract,contracte
dig,cavar
chest,pit
good-bye,adéu
drinks,begudes
dave,dave
buried,enterrat
brian,brian
trade,comerç
journey,viatge
stomach,estómac
changes,canvis
details,detalls
thoughts,pensaments
divorce,divorci
funeral,funeral
maria,maria
football,futbol
reality,realitat
theory,teoria
gosh,vaja
ruined,arruïnat
gate,porta
william,Guillem
spread,propagació
outta,fora de
japanese,japonès
sudden,de sobte
coat,abric
sooner,més aviat
cheese,formatge
larry,larry
spring,primavera
page,pàgina
ears,orelles
simon,simó
castle,castell
hidden,amagat
storm,tempesta
cos,cos
personally,personalment
artist,artista
hill,turó
exciting,emocionant
permission,permís
jerry,jerry
expensive,car
tickets,bitllets
forest,bosc
barely,amb prou feines
eggs,ous
goin,entra
regret,lamentar
lesson,lliçó
lover,amant
bread,pa
andy,andy
subject,assignatura
legal,legal
growing,creixent
ill,malalt
jason,en jason
mood,estat d'ànim
owner,propietari
caused,causat
beeping,sonant
points,punts
dating,cites
loss,pèrdua
secretary,secretari
revenge,venjança
santa,santa
likely,probable
rent,lloguer
connection,connexió
assistant,assistent
reasons,raons
yelling,cridant
painting,pintura
trees,arbres
doctors,metges
rush,pressa
foreign,estranger
rough,aspre
murderer,assassí
century,segle
nights,nits
pair,parella
runs,carreres
pocket,butxaca
farm,granja
matt,mat
bike,bicicleta
obvious,evident
ate,va menjar
grew,va créixer
professional,professional
tim,tim
goodness,bondat
parts,parts
alan,alan
university,universitat
square,quadrat
grandfather,avi
europe,europa
genius,geni
cases,casos
ruin,ruïna
winter,hivern
tongue,llengua
memories,records
da,da
buying,comprant
cancer,càncer
clock,rellotge
ocean,oceà
dna,ADN
liar,mentider
tour,gira
thief,lladre
bleep,bip
lisa,lisa
rights,drets
including,inclòs
competition,competició
smith,ferrer
planned,previst
emily,emily
boring,avorrit
victims,víctimes
mentioned,esmentat
bones,ossos
plant,planta
bless,beneir
warning,advertència
knocking,trucant
re,re
crash,xoc
bedroom,dormitori
lower,més baix
silver,plata
groaning,gemegant
madame,senyora
defense,defensa
results,resultats
toilet,lavabo
event,esdeveniment
complicated,complicat
shape,forma
priest,sacerdot
royal,Reial
cheap,barat
romantic,romàntic
downstairs,a baix
invite,convidar
fortune,fortuna
tears,llàgrimes
avoid,evitar
reached,assolit
higher,més alt
familiar,familiar
telephone,telèfon
burning,cremant
filled,ple
kelly,Kelly
alice,alícia
airport,aeroport
jobs,feines
grown,crescut
walter,walter
rachel,rachel
giant,gegant
insurance,assegurança
woods,boscos
n,n
scare,por
pleased,content
period,període
political,polític
player,jugador
stops,s'atura
secrets,secrets
laura,laura
repeat,repetir
photos,fotografies
finds,troba
statement,declaració
suck,xuclar
younger,més jove
china,Xina
humans,els éssers humans
delicious,deliciós
particular,particular
proper,adequat
rome,roma
belongs,pertany
attacked,atacat
bath,bany
hired,contractat
site,lloc
knowledge,coneixement
b,b
led,conduït
guests,convidats
celebrate,celebrar
map,mapa
horn,banya
eventually,eventualment
pity,llàstima
powers,poders
ashamed,avergonyit
assume,assumir
glasses,ulleres
rise,pujar
fixed,fixat
request,petició
officers,oficials
pounds,lliures
data,dades
carefully,amb cura
per,per
depends,depèn
jury,jurat
waited,esperava
positive,positiu
attorney,advocat
direction,direcció
families,famílies
clock,rellotge
doin,fent
forces,forces
location,ubicació
walls,parets
useless,inútil
grant,subvenció
saving,estalviant
speaks,parla
fought,lluitat
meal,menjar
deliver,lliurar
answers,respostes
changing,canviant
temple,temple
scary,espantós
millions,milions
offered,ofert
regular,regular
carrying,portant
official,oficial
jacket,jaqueta
switch,interruptor
grave,tomba
chase,persecució
role,paper
odd,estrany
sexy,sexy
faces,cares
becomes,esdevé
closes,tanca
badly,malament
tall,alt
confused,confós
affair,afer
television,televisió
shock,xoc
raised,aixecat
panting,jadeig
pizza,pizza
image,imatge
clears,esborra
golden,daurat
patients,pacients
watched,mirat
committed,compromès
sexual,sexual
suffer,patir
arthur,artur
wherever,allà on
plate,placa
appear,apareixer
chocolate,xocolata
clever,intel·ligent
hm,hm
mercy,gràcies
shots,trets
lucy,Lucy
dealing,tractar
trap,trampa
charges,càrrecs
phil,fil
bang,cop
poison,verí
butt,cul
drove,conduïa
yourselves,vosaltres mateixos
headed,encapçalat
babies,nadons
yellow,groc
soup,sopa
mystery,misteri
picking,recollint
sat,assegut
wound,ferida
traffic,trànsit
courage,coratge
hunt,caçar
indian,indi
rat,rata
terms,termes
italian,italià
emma,emma
checking,comprovació
disease,malaltia
managed,gestionat
winner,guanyador
council,consell
appointment,cita
monday,dilluns
crack,crack
threat,amenaça
jenny,jenny
physical,físic
nation,nació
source,font
chose,escollit
healthy,saludable
carl,carl
victory,victòria
rick,rick
stood,es va posar dempeus
kicked,colpejat
annie,annie
disgusting,repugnant
palace,palau
below,baix
shopping,compres
neighborhood,barri
march,marxa
lips,llavis
midnight,mitjanit
piss,pixar
advantage,avantatge
pure,pur
india,l'Índia
aside,a part
jerk,idiota
mail,correu
dawn,alba
effect,efecte
spell,conjurar
freak,monstre
wood,fusta
screwed,cargolat
enemies,enemics
gary,gary
awake,despert
chuckling,rient
vacation,vacances
violence,violència
leo,lleó
grandmother,àvia
modern,modern
luke,luke
firm,ferm
prime,primer
heh,heh
touched,tocat
talent,talent
whore,puta
piano,piano
license,llicència
cooking,cuinar
honour,honor
concern,preocupació
moves,es mou
available,disponible
factory,fàbrica
gods,déus
value,valor
central,central
union,Unió
mirror,mirall
studio,estudi
media,mitjans de comunicació
taxi,taxi
dies,mor
iron,ferro
hearts,cors
desire,desig
rob,robar
claire,Claire
fred,fred
songs,cançons
washington,washington
monkey,mico
pride,orgull
pills,pastilles
miracle,miracle
swim,nedar
burned,cremat
smells,olors
joking,fent broma
christian,cristià
bleeding,sagnant
hook,ganxo
beating,batre
protection,protecció
treatment,tractament
ear,orella
carter,carreter
metal,metall
disappear,desaparèixer
grateful,agraït
extremely,extremadament
treasure,tresor
rescue,rescat
capable,capaç
passing,passant
chatter,xerrada
result,resultat
suffering,patiment
sisters,germanes
laid,posat
governor,governador
guards,guàrdies
louis,Lluís
text,text
literally,literalment
remove,eliminar
becoming,esdevenint
performance,rendiment
stronger,més fort
rate,taxa
deeply,profundament
scream,cridar
desert,desert
vehicle,vehicle
illegal,il·legal
pulling,tirant
throwing,llançant
josh,josh
unbelievable,increïble
ted,ted
zero,zero
dean,degà
curious,curiós
sean,sean
candy,caramels
bone,os
tied,lligat
edge,vora
load,càrrega
susan,Susana
ahh,ahh
mountains,muntanyes
boom,boom
former,antic
holiday,festa
riding,a cavall
scoffs,burla
hundreds,centenars
motherfucker,fill de puta
sue,demandar
bags,bosses
stealing,robar
appears,apareix
arrive,arribar
remains,restes
decent,decent
issues,qüestions
tip,propina
fail,fracassar
bride,núvia
pissed,enfadat
penny,cèntim
claim,reclamació
friendship,amistat
desperate,desesperada
flower,flor
dramatic,Dramàtic
refuse,rebutjar
solve,resoldre
theme,tema
loving,amorós
properly,correctament
dragon,drac
mostly,majoritàriament
chuck,chuck
directly,directament
surface,superfície
FALSE,FALS
cast,repartiment
junior,júnior
hunting,cacera
silent,silenciós
thou,tu
egg,ou
germany,Alemanya
punch,punxada
africa,Àfrica
woke,va despertar
intelligence,intel·ligència
borrow,demanar prestat
winning,guanyant
falls,cau
popular,popular
escaped,escapat
witch,bruixa
convinced,convençut
warn,avisar
announcer,locutor
champagne,xampany
dust,pols
kyle,kyle
someday,algun dia
fallen,caigut
stranger,desconegut
presence,presència
tear,llàgrima
st.,st.
internet,internet
monsieur,senyor
therefore,per tant
technology,tecnologia
tires,pneumàtics
toast,torrades
wise,savi
clark,clark
americans,americans
notes,notes
smoking,fumar
hank,Hank
ls,ls
april,abril
wolf,llop
precious,preciós
rooms,habitacions
coast,Costa
treated,tractats
material,material
released,alliberat
uniform,uniforme
hated,odiat
considered,considerat
rice,arròs
exchange,intercanvi
steps,passos
blake,blake
convince,convèncer
beast,bèstia
cow,vaca
files,Fitxers
signs,signes
drag,arrossegar
cab,cabina
hung,penjat
carried,portat
ordinary,ordinari
successful,reeixit
eve,Vigília
mistakes,errades
houses,cases
chattering,xerrant
brains,cervells
japan,Japó
creature,criatura
fourth,quart
separate,separat
cleaning,neteja
california,Califòrnia
lf,lf
ll,ll
shift,canvi
elizabeth,elisabet
chicago,Chicago
exact,exacte
karen,karen
goal,objectiu
expert,expert
served,servit
direct,directe
score,puntuació
row,fila
marks,marques
twenty,vint
receive,rebre
series,sèrie
section,secció
pilot,pilot
jackson,jackson
darkness,foscor
thy,teu
sale,venda
destiny,el destí
cure,curar
spoken,parlat
armed,armat
rare,rar
helen,Helena
grade,grau
juice,suc
wide,ample
tower,torre
solution,solució
schedule,horari
explosion,explosió
wheel,roda
cigarette,cigarret
julie,julie
fruit,fruita
blew,va bufar
victor,vencedor
talks,converses
sacrifice,sacrifici
range,rang
button,botó
reports,informes
prisoner,pres
pie,pastís
effort,esforç
youth,joventut
pot,olla
eaten,menjat
taylor,taylor
knees,genolls
garage,garatge
parking,aparcament
ambulance,ambulància
staring,mirant
chances,possibilitats
circumstances,circumstàncies
sin,pecat
gordon,Gordon
progress,"progrés, progressar"
unusual,inusual
county,comtat
stairs,escales
campaign,campanya
mon,dl
vision,visió
reporter,periodista
equipment,equipament
moments,moments
joey,joey
mass,massa
alien,alienígena
trapped,atrapat
helps,ajuda
route,ruta
defend,defensar
trace,traça
nasty,desagradable
tests,proves
magazine,revista
rocks,roques
dump,abocador
rude,groller
searching,buscant
clue,pista
connected,connectat
amen,amén
pushed,empès
merry,alegre
zone,zona
senior,major
closing,tancament
freeze,congelar
emperor,emperador
incident,incident
snake,serp
mexico,Mèxic
lily,lliri
actor,actor
newspaper,diari
sentence,frase
greg,greg
leading,liderant
friendly,amigable
jones,jones
chosen,escollit
engaged,compromesa
julia,julia
charming,encantador
mustn,mustn
anger,ira
spending,despesa
learning,aprenentatge
spy,espia
sharp,agut
shadow,ombra
warrant,mandat
elevator,ascensor
kingdom,regne
ricky,ricky
jamie,jamie
squad,equip
shoulder,espatlla
wave,onada
amanda,amanda
highness,altesa
kinds,tipus
fishing,pescar
sometime,alguna vegada
attitude,actitud
sucks,xucla
negative,negatiu
screen,pantalla
workers,treballadors
bored,avorrit
cameras,càmeres
similar,semblants
understanding,comprensió
beeps,bips
chain,cadena
bull,toro
gasping,jadeant
fully,completament
robin,pit-roig
collect,recollir
gorgeous,preciosa
morgan,morgan
passion,passió
writer,escriptor
empire,imperi
international,internacional
curse,maledicció
hire,contractar
bastards,bastards
puts,posa
leads,condueix
id,id
blows,cops
sons,fills
estate,finca
customers,clients
maggie,maggie
gunshot,tret
i-,jo-
device,dispositiu
troops,tropes
hug,abraçada
design,disseny
movement,moviment
thunder,tro
object,objecte
loser,perdedor
pen,bolígraf
sobbing,plorant
politics,política
despite,malgrat
alcohol,alcohol
climb,escalar
clients,clients
conference,conferència
provide,proporcionar
marty,martí
seek,buscar
witnesses,testimonis
earn,guanyar
trash,escombraries
valley,vall
fashion,moda
howard,howard
episode,episodi
prize,premi
previously,prèviament
sports,esports
wanting,voler
debt,deute
wishes,desitjos
hitler,hitler
wire,filferro
thee,tu
circle,cercle
approach,enfocament
stock,estoc
facts,fets
remembered,recordat
percent,per cent
normally,normalment
tail,cua
joined,unit
education,educació
bravo,bravo
library,biblioteca
rape,violació
wings,ales
growling,grunyint
thrown,llançat
tank,tanc
exhales,exhala
authority,autoritat
current,actual
failure,fracàs
nightmare,malson
hitting,colpejant
glory,glòria
knocked,va colpejar
studying,estudiant
barry,barry
agency,agència
apple,poma
border,frontera
rope,corda
duck,ànec
reputation,reputació
confidence,confiança
yard,pati
beloved,estimada
lack,mancança
actual,real
skills,habilitats
films,pel·lícules
mental,mental
salt,sal
flesh,carn
anne,anna
secure,segur
highly,molt
federal,federal
sand,sorra
emotional,emocional
setting,configuració
nothin,res
senator,senador
services,serveis
robbery,robatori
hates,odia
fed,alimentat
reward,recompensa
theater,teatre
johnson,johnson
commit,comprometre's
patrick,patrick
entirely,completament
extraordinary,extraordinari
ships,vaixells
opposite,contrari
parties,festa
stands,estands
terry,Terry
chat,xat
events,esdeveniments
mummy,mòmia
bay,badia
slip,relliscar
disappointed,decebut
settled,assentat
begins,comença
andrew,andrew
alert,alerta
detail,detall
pink,rosa
fellas,companys
accepted,acceptat
background,fons
garbage,escombraries
panic,pànic
minds,ments
belt,cinturó
blowing,bufant
hollywood,hollywood
agreement,acord
jackie,Jackie
pushing,empenyent
ability,capacitat
tiger,tigre
whispering,xiuxiuejant
culture,cultura
saint,Sant
jesse,jesse
task,tasca
solid,sòlid
doll,nina
intend,pretenen
district,districte
pa,pa
gee,vaja
custody,custòdia
ignore,ignorar
naturally,naturalment
useful,útil
attempt,intent
abandoned,abandonat
cutting,tall
kissed,besats
guarantee,garantia
barking,bordant
gather,reunir
policy,política
u.s.,nosaltres.
violent,violents
maid,criada
embarrassing,vergonyós
childhood,infantesa
wasting,malbaratament
bow,arc
chick,pollet
sara,sara
disaster,desastre
revolution,revolució
online,en línia
f,f
demon,dimoni
heavily,fortament
coincidence,coincidència
perform,realitzar
thin,prim
terrific,excel · lent
mac,mac
crown,corona
identity,identitat
virgin,verge
impressive,impressionant
windows,finestres
no-one,Ningú
potential,potencial
guitar,guitarra
committee,comitè
dozen,dotzena
delivery,lliurament
advance,avanç
quietly,en silenci
stan,stan
teaching,l'ensenyament
hunter,caçador
latest,més recent
hurting,fent mal
swing,gronxador
capital,capital
counting,comptant
drew,va dibuixar
dirt,brutícia
whistle,xiulet
marie,maria
hits,accessos
doug,Doug
deny,negar
urgent,urgent
threatened,amenaçat
behavior,comportament
molly,molly
mixed,barrejat
stays,estades
assure,assegurar
subtitles,subtítols
explanation,explicació
wins,guanya
unique,únic
chasing,perseguint
billion,mil milions
duke,duc
production,producció
slave,esclau
agents,agents
carol,nadala
lets,deixem
cruel,cruel
mask,màscara
sally,sally
behave,comportar-se
bury,enterrar
massive,massiva
pathetic,patètic
species,espècies
approaching,apropant-se
jo,jo
loan,préstec
struggle,lluitar
dish,plat
trusted,de confiança
jumped,va saltar
firing,disparant
channel,canal
abby,abby
stopping,aturant-se
asks,pregunta
jean,Jean
swimming,natació
daily,diàriament
basement,soterrani
linda,Linda
quarter,trimestre
erm,erm
bound,lligat
navy,marina
article,article
guide,guia
accused,acusat
transfer,transferència
guts,budells
quality,qualitat
fella,noi
roman,romà
greater,més gran
damned,maleït
couch,sofà
cheer,animar
vegas,vegas
shoe,sabata
title,títol
shy,tímid
punishment,càstig
los,els
clicks,clics
you,vostè
closet,armari
bye-bye,adeu
fever,febre
coward,covard
flash,flaix
impressed,impressionat
bruce,bruce
siren,sirena
prisoners,presoners
sides,costats
bowl,bol
katie,katie
supply,subministrament
sensitive,sensible
hopefully,amb sort
rolling,rodant
roy,roy
dollar,dòlar
tone,to
voices,veus
g,g
i,i
cheating,enganyar
confess,confessar
demand,demanda
museum,museu
unknown,desconegut
drama,drama
suspicious,sospitós
adult,adult
todd,todd
frightened,espantat
warned,avisat
steady,estable
kills,mata
crossed,creuat
lou,lou
particularly,particularment
sandwich,entrepà
laws,lleis
joint,articulació
bullets,bales
package,paquet
trained,entrenat
thursday,dijous
boots,botes
possibility,possibilitat
albert,albert
civil,civil
june,juny
germans,alemanys
baseball,beisbol
express,expressar
miserable,miserable
tuesday,dimarts
parker,parker
lion,lleó
joseph,Josep
refused,rebutjat
shine,brillar
assault,assalt
hong,hong
jokes,acudits
breaks,trencaments
argue,argumentar
you-,vostè-
trail,pista
option,opció
recall,recordar
mighty,poderós
collection,col · lecció
oliver,oliver
wilson,Wilson
accent,accent
believes,creu
decisions,decisions
embarrassed,avergonyit
mobile,mòbil
customer,client
terribly,terriblement
sec,sec
charity,caritat
considering,tenint en compte
pussy,cony
donna,dona
protecting,protegint
flag,bandera
kidnapped,segrestat
italy,Itàlia
balance,equilibri
creatures,criatures
nuclear,nuclear
wallet,cartera
shout,cridar
vincent,vicent
entered,entrat
impression,impressió
angela,àngela
jay,jay
degrees,graus
favour,favor
reaction,reacció
network,xarxa
jessica,jessica
version,versió
concert,concert
gear,engranatge
singer,cantant
diamond,diamant
defeat,derrota
steven,steven
lane,carril
blast,explosió
wounded,ferit
anytime,en qualsevol moment
partners,socis
ages,edats
charlotte,charlotte
ceremony,cerimònia
league,lliga
bars,bars
orange,taronja
specific,específic
conditions,condicions
plastic,plàstic
crisis,crisi
fifth,cinquè
term,terme
self,jo mateix
offering,ofrena
bud,brot
suffered,patit
reported,reportat
commissioner,comissari
rip,descansi en pau
mysterious,misteriós
entrance,entrada
messed,desordenat
tunnel,túnel
designed,dissenyat
neighbor,veí
aboard,a bord
sweat,suor
justin,justin
ghosts,fantasmes
crimes,crims
costs,costos
deserves,mereix
dreaming,somiant
bust,bust
el,el
teddy,peluix
kong,Kong
messages,missatges
enjoying,gaudint
afterwards,després
comfort,comoditat
mason,paleta
surrender,rendir-se
gym,gimnàs
kitty,gatet
crush,aixafar
yup,si
arranged,arranjats
suits,vestits
pee,fer pipí
stress,estrès
cave,cova
wing,ala
jordan,Jordània
arrange,arranjar
comrade,camarada
noble,noble
tricks,trucs
betty,betty
launch,llançament
legend,llegenda
mix,barrejar
golf,golf
imagination,imaginació
fox,guineu
kissing,besant
butter,mantega
tax,impost
gross,brut
edward,edward
texas,Texas
insist,insisteix
marcus,marc
classic,clàssic
selfish,egoista
skull,crani
frankie,Frankie
shown,mostrat
bat,ratpenat
survived,sobreviscut
print,imprimir
champion,campió
bills,factures
therapy,teràpia
lifetime,tota una vida
throughout,arreu
a.m.,a.m.
nathan,nathan
toward,cap a
sauce,salsa
experiment,experiment
margaret,margarita
describe,descriure
ross,ross
grass,herba
cheat,enganyar
attend,assistir
homework,deures
lewis,lewis
betrayed,traït
servant,servent
cap,cap
tyler,Tyler
bible,bíblia
practically,pràcticament
catherine,caterina
steel,acer
wipe,netejar
burns,cremades
j,j
generation,generació
cabin,cabina
financial,financera
industry,indústria
bond,llaç
sheep,ovelles
scientists,científics
beaten,batut
heck,merda
deck,coberta
fans,ventiladors
script,guió
brand,marca
degree,grau
painful,dolorós
coughing,tossir
religion,religió
cats,gats
stephen,stephen
influence,influència
fuel,combustible
drawing,dibuixant
uh-oh,UH oh
rabbit,conill
exercise,exercici
attractive,atractiu
touching,tocant
virus,virus
realise,adonar-se
torture,tortura
blessed,beneït
plain,plana
rebecca,rebecca
recent,recent
barbara,barbara
footsteps,passos
sacred,sagrat
removed,eliminat
pretending,fingint
wasted,desaprofitat
jewish,jueu
goodnight,bona nit
robot,robot
crystal,cristall
confirm,confirmar
lad,noi
mile,milla
division,divisió
scratch,rascar
reminds,recorda
walks,caminades
ending,final
russia,Rússia
contest,concurs
valuable,valuós
distant,llunyà
dumped,abocat
motion,moviment
electricity,electricitat
centre,centre
murders,assassinats
tina,tina
jeremy,jeremi
seal,segell
standard,estàndard
ellen,ellen
wore,portava
surrounded,envoltat
struck,colpejat
inform,informar
gentle,amable
status,estat
purse,bossa
prints,impressions
players,jugadors
charged,carregat
begging,mendicant
delivered,lliurat
kenny,Kenny
buck,dòlar
nina,nina
construction,construcció
confirmed,confirmat
confession,confessió
trigger,disparador
cells,cèl · lules
frankly,francament
ali,ali
exit,sortida
response,resposta
cancel,cancel · lar
argument,argument
principal,principal
turkey,gall dindi
lucas,lucas
clinic,clínica
greetings,salutacions
neighbors,veïns
vice,vici
toy,joguina
hannah,Hannah
everyday,cada dia
generous,generós
gain,guany
idiots,idiotes
holly,grèvol
enjoyed,gaudit
jungle,Selva
link,enllaç
underground,subterrani
smiling,somrient
mistress,mestressa
teams,equips
product,producte
beef,vedella
whispers,xiuxiueig
religious,religiosa
presents,presenta
identify,identificar
chip,xip
chffffff,chffffff
surveillance,vigilància
carlos,carlos
vampire,vampir
routine,rutina
uses,usos
michelle,michelle
underneath,a sota
systems,sistemes
temperature,temperatura
waves,ones
tribe,tribu
brad,brad
deputy,diputat
sophie,sophie
headquarters,seu
equal,igual
phones,telèfons
ken,ken
reckon,comptar
related,relacionats
incredibly,increïblement
chill,fred
spit,escopir
tracks,pistes
oscar,oscar
makeup,maquillatge
bug,error
sounded,sonava
spirits,esperits
nerve,nervi
divorced,divorciats
stake,estaca
port,port
doorbell,timbre
worries,preocupacions
nephew,nebot
miller,moliner
units,unitats
just-,només-
proceed,procedir
landing,aterratge
traitor,traïdor
outfit,vestit
chloe,chloe
bail,fiança
fields,camps
patience,paciència
recording,gravació
foolish,neci
loaded,carregat
tokyo,Tòquio
davis,davis
costume,vestit
wayne,wayne
injured,ferits
somethin,alguna cosa
ian,ian
pet,mascota
cage,gàbia
digging,excavant
spain,espanya
seats,seients
awkward,incòmode
cleaned,netejat
pattern,patró
filthy,brut
visiting,visitant
jews,jueus
answering,contestant
concentrate,concentrar
someplace,algun lloc
citizens,ciutadans
aim,objectiu
nancy,nancia
affairs,assumptes
thick,espés
sport,esport
basic,bàsic
electric,elèctrica
pleasant,agradable
cliff,penya-segat
nail,clau
russell,russell
environment,medi ambient
western,Occidental
average,mitjana
ease,facilitat
raped,violada
interrupt,interrompre
judy,judy
satisfied,satisfet
beep,bip
starving,morint de fam
documents,documents
anniversary,aniversari
beth,beth
election,elecció
warrior,guerrer
r,r
forth,endavant
fetch,buscar
banks,bancs
placed,col · locat
timing,temporització
stones,pedres
complex,complex
frozen,congelat
replace,substituir
prayer,pregària
skip,Omet
angeles,Àngels
guilt,culpabilitat
tune,afinar
woo,vau
actions,accions
conscience,consciència
officially,oficialment
martha,marta
machines,màquines
smaller,més petit
determined,determinat
blown,bufat
hail,calamarsa
unhappy,infeliç
booth,cabina
pour,abocar
berlin,Berlín
cleared,esborrat
packed,embalat
wrap,embolicar
randy,randy
behalf,en nom
reasonable,raonable
trunk,tronc
homes,cases
festival,Festival
tradition,tradició
cigarettes,cigarrets
le,le
beside,al costat
harvey,Harvey
motive,motiu
beings,éssers
bishop,bisbe
dealer,distribuïdor
defendant,acusat
backup,còpia de seguretat
wounds,ferides
ouch,ai
ann,ann
nearby,a prop
drank,bevia
effects,efectes
jonathan,jonathan
dennis,Dennis
benefit,benefici
adventure,aventura
p,pàg
territory,territori
ve,ve
apology,disculpes
dylan,Dylan
unlike,a diferència
owns,posseeix
boxes,caixes
thus,així
clay,argila
developed,desenvolupat
busted,rebentat
pipe,canonada
gray,gris
no.,no.
goods,mercaderies
favourite,favorit
salad,amanida
loyal,lleial
atmosphere,atmosfera
eva,eva
freaking,fotut
dropping,caient
strangers,desconeguts
mouse,ratolí
downtown,centre de la ciutat
francisco,francisco
heroes,herois
pit,fossa
rotten,podrit
paradise,paradís
meantime,Mentrestant
jess,jess
organization,organització
hills,turons
exam,examen
cock,gall
fairy,fada
earl,comte
comment,comentar
activity,activitat
frame,marc
knight,cavaller
testing,provant
habit,hàbit
shelter,refugi
flow,fluir
jennifer,jennifer
holes,forats
prevent,prevenir
anthony,Antoni
lend,prestar
cooper,toler
figures,xifres
boston,boston
sample,mostra
strip,tira
landed,aterrat
buzzing,brunzit
monk,monjo
slightly,lleugerament
produce,produir
annoying,molest
judgment,judici
laundry,bugaderia
ron,ron
lousy,pèssim
souls,ànimes
existence,existència
belly,ventre
tries,intenta
foster,acollida
returning,tornant
answered,va respondre
ward,sala
plants,plantes
actress,actriu
chairman,president
