English,Catalan
individual,individual
hopes,esperances
tattoo,tatuatge
fence,tanca
sink,pica
punk,punk
confident,confiat
yay,Visca
mistaken,equivocat
limit,límit
bothering,molestant
st,st
uncomfortable,incòmode
wednesday,dimecres
gifts,regals
policeman,policia
na,na
precisely,precisament
lawyers,advocats
greek,grec
merely,simplement
criminals,delinqüents
underwear,roba interior
hoped,esperava
earned,guanyat
reveal,revelar
appeared,va aparèixer
derek,derek
heavens,cels
personality,personalitat
batman,batman
virginia,Virgínia
wives,dones
colour,color
worker,treballador
pope,papa
instructions,instruccions
intelligent,intel · ligent
worrying,preocupant
vince,vince
comin,comin
cried,va cridar
traveling,viatjant
bells,campanes
x,x
impact,impacte
robbed,robat
relief,relleu
host,amfitrió
footage,metratge
odds,possibilitats
patrol,patrulla
circus,circ
mud,fang
captured,capturat
lessons,lliçons
occasion,ocasió
sets,col · leccions
pulse,pols
ad,ad
invented,inventat
diamonds,diamants
matthew,Mateu
auntie,tieta
cloud,núvol
francis,Francesc
angels,àngels
hers,seva
classes,classes
mm-hm,mm-hm
signature,signatura
complain,queixar-se
blah,bla
monitor,monitor
options,opcions
claims,reclamacions
flies,mosques
pat,pat
britain,Gran Bretanya
hid,amagat
wailing,lamentar
listened,escoltat
countries,països
vic,vic
yell,cridar
rats,rates
wondered,preguntat
smooth,llis
resist,resistir
companies,empreses
fantasy,fantasia
passport,passaport
pitch,Brea
hammer,martell
homicide,homicidi
casey,casey
holds,aguanta
flew,va volar
jacob,jacob
noon,migdia
helicopter,helicòpter
dishes,plats
spin,girar
charm,encant
slap,bufetada
apply,aplicar
fools,ximples
screeching,xisclat
discover,descobrir
previous,anterior
kit,kit
authorities,autoritats
moaning,gemegant
photograph,fotografia
sales,vendes
fifty,cinquanta
mickey,mickey
beneath,a sota
farewell,adéu
clouds,núvols
slipped,va relliscar
represent,representar
deaf,sord
facing,de cara
offense,ofensa
citizen,ciutadà
clown,pallasso
snap,encaixar
messing,embolicant
hood,caputxa
twelve,dotze
interests,interessos
cheated,enganyat
liz,liz
informed,informat
humanity,humanitat
producer,productor
technically,tècnicament
accounts,comptes
extreme,extrem
gettin,aconseguint
cia,cia
ii,ii
pays,paga
profile,Perfil
oxygen,oxigen
jeez,carai
gene,gen
shed,cobert
minor,menor
ex,ex
theatre,teatre
scientific,científic
lovers,amants
chaos,Chaos
l.a.,l.a.
rocket,coet
math,matemàtiques
stubborn,tossut
august,Agost
oi,oi
chips,xips
intense,intens
grey,gris
talkin,parlant
terrorist,terrorista
angle,angle
invitation,invitació
gus,gus
gambling,jocs d'atzar
respond,respondre
thirty,trenta
procedure,procediment
absolute,absolut
investigate,investigar
tragedy,tragèdia
stable,estable
session,sessió
capture,captura
marrying,casar-se
ripped,arrencat
attacks,atacs
stretch,estirar
bush,matoll
dates,dates
unable,incapaç
gates,portes
mars,mart
artists,artistes
increase,augmentar
tastes,gustos
cared,cuidat
bottles,ampolles
highest,més alt
whirring,xiuxiuejant
meanwhile,mentrestant
nate,nate
grabbed,va agafar
pigs,porcs
chop,tallar
olivia,olivia
wheels,rodes
shocked,commocionat
reverend,reverend
commercial,comercial
escort,escorta
engagement,compromís
corpse,cadàver
louise,lluïsa
worthy,digne
scale,escala
beats,batecs
williams,williams
threatening,amenaçador
exists,existeix
academy,acadèmia
acts,actes
hop,hop
judges,jutges
furniture,mobles
shared,compartit
ralph,ralph
consequences,conseqüències
engineer,enginyer
schools,escoles
softly,suaument
bombs,bombes
caroline,carolina
shark,tauró
transport,transport
population,població
succeed,tenir èxit
creepy,horripilant
sneak,colar
studies,estudis
destruction,destrucció
keith,Keith
protected,protegit
monsters,monstres
joining,unint-se
punished,castigat
lightning,llamps
malcolm,malcolm
shell,closca
fascinating,fascinant
chamber,cambra
ethan,etan
romance,romanç
instance,instància
jumping,saltant
groups,grups
exhausted,esgotat
testify,testimoniar
studied,estudiat
walker,caminador
pin,pin
imagined,imaginat
drill,trepant
investigating,investigant
ye,tu
experienced,experimentat
elena,elena
necklace,collaret
loyalty,lleialtat
junk,escombraries
cole,cole
cries,plora
stanley,Stanley
rita,rita
southern,meridional
blocks,blocs
emotions,emocions
begun,començat
maya,maia
liver,fetge
serving,servir
matches,partits
surgeon,cirurgià
granted,concedit
jazz,jazz
july,juliol
supplies,subministraments
deeper,més profund
typical,típic
kicking,donant puntades
obey,obeir
dancer,ballarina
remote,remot
daughters,filles
moron,idiota
latin,llatí
teachers,professors
toby,toby
sandy,sorrenc
dragged,arrossegat
strategy,estratègia
parent,pare
jin,jin
album,àlbum
compared,comparat
rubbish,escombraries
helpful,útil
powder,pols
sync,sincronitzar
bum,bum
passes,passa
joan,joan
fort,fort
choices,opcions
alley,carreró
supper,sopar
penis,penis
alibi,coartada
sammy,sammy
pole,pal
coke,coca
scientist,científic
fighter,lluitador
highway,carretera
blade,fulla
alpha,alfa
diet,dieta
liquor,licor
jet,jet
widow,vídua
liberty,llibertat
philip,Felip
moral,moral
carrie,carrie
award,premi
grief,dol
thirsty,assedegat
ashley,Ashley
random,aleatòria
suspects,sospitosos
intention,intenció
julian,julià
active,actiu
tools,eines
driven,conduït
trauma,trauma
headache,mal de cap
safely,amb seguretat
alexander,alexandre
knee,genoll
lads,nois
novel,novel·la
conversations,converses
waters,aigües
lookin,mirant
invisible,invisible
internal,intern
peaceful,Pacífic
humming,tararejant
washed,rentat
drives,unitats
talented,talentós
li,li
aid,ajuda
elephant,elefant
troubles,problemes
core,nucli
serial,sèrie
s-,s-
painted,pintat
the,el
divine,divina
jam,melmelada
goat,cabra
opera,òpera
thieves,lladres
guessing,endevinar
objection,objecció
whiskey,whisky
florida,florida
resistance,resistència
dressing,vestir
attached,adjunt
aaron,aaron
brief,breu
punish,castigar
eternal,etern
lois,lois
and,i
required,requerit
victoria,victòria
fabulous,fabulós
twins,bessons
characters,personatges
cooked,cuit
ln,ln
ruth,ruth
dreamed,somiat
arts,arts
naughty,entremaliat
stabbed,apunyalat
tend,tendeix
diane,diane
tap,aixeta
soap,sabó
locker,taquilla
development,desenvolupament
images,imatges
prick,punxada
global,global
string,corda
bitter,amarg
sharing,compartint
corn,blat de moro
craig,craig
fits,encaixa
tent,tenda de campanya
forms,formes
votes,vots
harold,harold
propose,proposar
monica,Mònica
constantly,constantment
granny,àvia
nicely,molt bé
nerves,nervis
arguing,discutint
abuse,abús
relatives,familiars
survival,supervivència
gloves,guants
tracking,seguiment
zoe,zoe
u,u
bend,doblegar
review,revisió
connect,connectar
separated,separats
elder,gran
beard,barba
admiral,almirall
diana,diana
salary,sou
areas,àrees
disturb,molestar
pro,pro
maintain,mantenir
solved,resolt
wealth,riquesa
bitches,gosses
possession,possessió
sang,cantava
gimme,dona'm
plates,plaques
shoulders,espatlles
burnt,cremat
recorded,gravat
upper,superior
counts,compta
tale,conte
profit,benefici
colleague,col·lega
warehouse,magatzem
hostage,ostatge
shore,Riba
porn,porno
miami,miami
fifteen,quinze
visitors,visitants
bo,bo
net,net
insult,insult
owen,owen
cities,ciutats
causing,provocant
lemon,llimona
heal,curar
banging,cops
honeymoon,lluna de mel
appeal,apel·lació
marshall,mariscal
critical,crític
creating,creant
scotland,Escòcia
crane,grua
enormous,enorme
testimony,testimoni
praise,elogis
fights,baralles
indians,indis
commission,comissió
growls,grunyits
nicole,nicole
sins,pecats
fraud,frau
branch,branca
happily,feliçment
bout,combat
covering,cobriment
occurred,ha passat
beans,mongetes
raw,crua
muscle,múscul
pages,pàgines
tense,tens
relationships,relacions
management,gestió
assignment,assignació
blonde,Ros
catching,agafant
exposed,exposat
canada,Canadà
dont,no
han,han
von,von
comedy,comèdia
marco,marc
stroke,ictus
whistling,xiulant
buildings,edificis
shaking,sacsejant
p.m.,p.m.
facility,instal·lació
appropriate,apropiat
remarkable,notable
transferred,transferit
drawn,dibuixat
tits,pits
clicking,fent clic
symbol,símbol
motor,motor
employees,empleats
ambassador,ambaixador
mothers,mares
pile,pila
feeding,alimentació
soda,refresc
checks,xecs
bears,óssos
cookies,galetes
slut,puta
awfully,terriblement
stepped,va trepitjar
toys,joguines
levels,nivells
differently,diferent
magnificent,magnífic
steak,bistec
tube,tub
leaders,líders
superior,superior
herr,Herr
pan,paella
expression,expressió
currently,actualment
throne,tron
deadly,mortal
bee,abella
tooth,dent
depressed,deprimit
potatoes,patates
wicked,malvat
resources,recursos
native,autòcton
centuries,segles
karl,karl
poetry,poesia
multiple,múltiples
cable,cable
shortly,en breu
buzz,brunzit
socks,mitjons
fingerprints,empremtes dactilars
goddess,deessa
chin,barbeta
anxious,ansiós
september,setembre
colors,colors
basketball,bàsquet
promises,promeses
explained,explicat
appearance,aparença
musical,musical
sends,envia
slide,diapositiva
aii,aii
shawn,shawn
ultimate,definitiva
pork,carn de porc
communication,comunicació
payment,pagament
structure,estructura
paperwork,paperassa
obsessed,obsessionat
lazy,mandrós
russians,russos
actors,actors
squeeze,apretar
magical,màgic
colleagues,companys
admire,admirar
madness,bogeria
roads,carreteres
entry,entrada
injury,ferida
burden,càrrega
racing,carreres
manner,manera
freezing,congelant
bits,bits
norman,normand
mount,muntar
battery,bateria
dessert,postres
pound,lliura
visited,visitat
motel,motel
rumbling,rebombori
cinema,cinema
fond,aficionat
halfway,a mig camí
rifle,rifle
reception,recepció
statue,estàtua
fridge,nevera
brick,maó
abandon,abandonar
lap,volta
natalie,natalia
wars,guerres
recommend,recomanar
brush,pinzell
nelson,Nelson
pill,pastilla
concept,concepte
w,w
delay,retard
quarters,quarts
korea,Corea
janet,janet
rub,fregar
mall,centre comercial
soil,sòl
complaint,denúncia
sail,navegar
baker,forner
coughs,tos
bucket,cubell
description,descripció
badge,insígnia
measure,mesura
hip,maluc
function,funció
indistinctly,indistintament
harris,harris
foundation,fundació
labor,treball
willie,willie
waiter,cambrer
homeless,sense sostre
proved,demostrat
unfortunate,lamentable
log,registre
meetings,reunions
giggles,rialles
combat,combat
poem,poema
polish,polir
handed,lliurat
mia,mia
weed,mala herba
raymond,raymond
tons,tones
satellite,satèl·lit
jersey,samarreta
eagle,àguila
privacy,privadesa
chapter,capítol
treating,tractant
wisdom,saviesa
flip,voltejar
entering,entrant
barn,graner
farmer,pagès
clan,clan
budget,pressupost
pub,pub
temporary,temporal
effective,efectiu
sonny,fill
wendy,wendy
juan,juan
lamb,xai
plot,parcel · la
riley,riley
proposal,proposta
sticks,pals
searched,buscat
blessing,benedicció
rage,ràbia
bothered,molestat
sydney,Sydney
basis,base
manners,maneres
recover,recuperar
twist,torçar
neil,neil
leak,fugida
item,article
catholic,catòlica
sighing,sospirant
retired,jubilat
kings,reis
inner,interior
cents,cèntims
affect,afectar
forbidden,prohibit
patch,pegat
drops,gotes
necessarily,necessàriament
provided,proporcionat
meters,metres
booked,reservat
returns,torna
gloria,glòria
fires,incendis
humor,humor
torn,esquinçat
e-mail,correu electrònic
rocky,rocós
introduced,introduït
creative,creatiu
betray,trair
soviet,soviètic
various,diversos
added,afegit
discovery,descobriment
cowboy,vaquer
suspected,sospitat
suggested,suggerit
delighted,encantat
sticking,enganxant-se
dive,immersió
shane,shane
radar,radar
prosecutor,fiscal
amber,ambre
vast,vast
quinn,quinn
owned,propietat
cookie,galeta
finest,millor
felix,Felix
pump,bomba
valentine,Sant Valentí
counter,comptador
sorts,classes
coin,moneda
warren,warren
slaves,esclaus
marine,marí
illness,malaltia
sack,sac
bid,oferta
require,requereixen
moscow,Moscou
largest,més gran
washing,rentat
achieve,aconseguir
causes,causes
k,k
mo,mo
dope,droga
nest,niu
palm,palmell
logan,logan
constant,constant
b.,b.
boo,boo
medication,medicació
gravity,gravetat
booze,beguda
noah,noah
evan,evan
abroad,a l'estranger
christine,christine
rising,pujant
analysis,anàlisi
cuts,talls
eats,menja
employee,empleat
vodka,vodka
damaged,espatllat
solar,solar
height,alçada
pops,pops
yards,iardes
terrified,aterrit
suitcase,maleta
chemical,química
preparing,preparant-se
advanced,avançat
fund,fons
wears,porta
chirping,xiulant
web,web
phase,fase
prom,Ball de fi de curs
suggesting,suggerint
fleet,flota
lame,coix
irish,irlandesa
editor,editor
october,octubre
assumed,suposat
whip,fuet
mel,mel
region,regió
amongst,entre
temper,temperament
discussion,discussió
engines,motors
operate,funcionar
sunshine,sol
acted,actuat
undercover,encobert
horror,horror
tested,provat
smash,aixafar
contrary,contràriament
roses,roses
poker,pòquer
wrapped,embolicat
korean,coreà
graham,graham
mi,mi
fu,fu
ivan,ivan
focused,centrat
liam,liam
tragic,tràgic
carla,carla
demons,dimonis
rounds,rondes
entertainment,entreteniment
gathered,reunit
uhh,uhh
yells,crida
lincoln,lincoln
crossing,travessa
blanket,manta
nut,nou
travis,travis
pockets,butxaques
limited,limitada
paintings,pintures
sober,sobri
caesar,césar
sis,germana
intended,previst
niece,neboda
computers,ordinadors
tennis,tennis
needle,agulla
chicks,pollets
traditional,tradicional
delicate,delicat
independent,independent
leslie,leslie
lauren,lauren
grandson,nét
repair,reparació
a.,a.
brandon,Brandon
executive,executiu
colin,colin
recognized,reconegut
holmes,Holmes
regarding,respecte
weakness,debilitat
aliens,extraterrestres
gunshots,trets
european,Europeu
method,mètode
tool,eina
demands,demandes
permit,permís
towel,tovallola
daisy,margarida
nowadays,avui dia
spider,aranya
northern,nord
rangers,guardabosques
zoo,zoològic
praying,pregant
antonio,antoni
passengers,passatgers
con,con
australia,Austràlia
technique,tècnica
cellphone,mòbil
gently,suaument
operations,operacions
planes,avions
bunny,conillet
gunfire,trets
shining,brillant
backwards,cap enrere
skill,habilitat
uh-,eh-
baron,baró
kidnapping,segrest
iike,igual
marshal,mariscal
petty,mesquines
sealed,segellat
massage,massatge
raising,alçament
menu,menú
diary,diari
fucker,puta
wagon,vagó
audition,audició
mitch,mitch
mexican,mexicana
casino,casino
bacon,cansalada
diego,diego
dutch,holandès
promotion,promoció
click,feu clic
forgiveness,el perdó
burst,explosió
permanent,permanent
interfere,interferir
chanting,cantant
dammit,merda
spencer,spencer
recovered,recuperat
registered,enregistrat
sunny,assolellat
packing,embalatge
scenes,escenes
superman,superhome
questioning,qüestionant
unfair,injust
admitted,admès
ancestors,avantpassats
polite,educat
completed,completat
swallow,empassar
conduct,conducta
prayers,oracions
sheet,fulla
fried,fregits
avenue,avinguda
poisoned,enverinat
reverse,revés
newspapers,diaris
ford,gual
complaining,queixant-se
senses,sentits
investment,inversió
absurd,absurd
potato,patata
understands,entén
grows,creix
inspired,inspirat
ruby,robí
celebrating,celebrant
tag,etiqueta
ram,ram
requires,requereix
bonnie,bonnie
bugs,errors
leonard,leonard
elliot,elliot
hooked,enganxat
jill,jill
ranch,ranxo
safer,més segur
worn,desgastat
crashing,estavellant-se
lands,terres
heather,bruc
ash,cendra
leather,cuir
grounds,motius
assuming,assumint
nails,ungles
dana,dana
conspiracy,conspiració
thanksgiving,acció de gràcies
pierre,pedra
guardian,guardià
rumors,rumors
yen,iens
megan,megan
ashes,cendres
terror,terror
misunderstanding,malentès
tire,pneumàtic
boats,vaixells
parade,cercavila
halt,parar
immunity,immunitat
adults,adults
steam,vapor
kang,kang
closely,de prop
pearl,perla
soccer,futbol
adrian,adrià
priority,prioritat
shouts,crits
donald,donald
happier,més feliç
khan,khan
struggling,lluitant
root,arrel
larger,més gran
november,de novembre
boot,arrencada
conflict,conflicte
laughed,va riure
debbie,debbie
cherry,cirera
honking,tocant el claxon
concerns,preocupacions
celebration,celebració
sore,dolor
unconscious,inconscient
cattle,ramat
breasts,pits
fairly,justament
fee,quota
recognise,reconèixer
wade,vadejar
radiation,radiació
holidays,vacances
raining,plovent
forgetting,oblidant
lungs,pulmons
register,registrar-se
shadows,ombres
specifically,concretament
sarge,sarge
ideal,ideal
turtle,tortuga
spoil,espatllar
deserved,merescut
ronnie,ronnie
gina,gina
candidate,candidat
lance,llança
types,tipus
bloke,paio
explode,explotar
immediate,immediat
belonged,pertanyia
identified,identificat
di,di
hunger,fam
closest,més propera
combination,combinació
nanny,mainadera
seth,set
gabriel,gabriel
develop,desenvolupar
detectives,detectius
severe,greu
en,en
organized,organitzat
franklin,Franklin
gut,budell
splendid,esplèndid
dismissed,acomiadat
pm,pm
yang,yang
halloween,Halloween
ellie,ellie
vulnerable,vulnerable
continued,va continuar
vital,vital
comrades,camarades
bureau,oficina
drawer,calaix
harper,harper
retreat,retirada
carson,carson
benny,Benny
pillow,coixí
troy,troia
ace,as
cart,carro
nap,migdiada
chan,chan
ham,pernil
announce,anunciar
borrowed,prestat
parked,aparcat
galaxy,galàxia
voted,votat
muffled,apagat
sebastian,sebastià
mmm-hmm,mmm-hmm
jewelry,joieria
kisses,petons
luggage,equipatge
groom,el nuvi
oops,vaja
lighter,més lleuger
masters,mestres
alliance,aliança
buddies,amics
clothing,roba
denied,negat
drown,ofegar
alike,igual
excellency,excel·lència
relative,relatiu
photographs,fotografies
burger,hamburguesa
dough,massa
alicia,alícia
wreck,naufragi
approve,aprovar
produced,produït
christina,christina
physically,físicament
stations,estacions
eli,eli
samantha,samantha
spiritual,espiritual
sire,pare
roaring,rugint
stab,punyalada
inch,polzada
servants,servidors
limits,límits
unexpected,inesperat
arrival,arribada
whimpering,gemecs
basket,cistella
sheets,llençols
scandal,escàndol
stink,pudor
homer,homer
tara,tara
christopher,christopher
toes,dits dels peus
t-,t-
shield,escut
shooter,tirador
instant,instant
objects,objectes
rehearsal,assaig
disturbing,inquietant
directed,dirigit
scan,escanejar
electronic,electrònica
republic,República
overnight,durant la nit
counsel,Consell
sirens,sirenes
dorothy,dorothy
bait,esquer
dignity,dignitat
explains,explica
lean,magra
heroin,heroïna
tracy,tracy
rex,rex
barney,Barney
gossip,xafarderies
humble,humils
economy,economia
worlds,mons
impress,impressionar
clara,clara
tissue,teixit
threaten,amenaçar
et,et
bump,bony
supreme,suprem
bingo,bingo
mitchell,mitchell
excitement,emoció
mankind,la humanitat
document,document
broad,ample
vietnam,vietnam
vessel,vaixell
lit,encès
dale,dale
killers,assassins
connor,connor
mario,mario
foul,falta
stare,mirar
deaths,defuncions
hut,cabana
elements,elements
coma,coma
laying,posada
coffin,taüt
paula,paula
cocaine,cocaïna
puppy,cadell
louder,més fort
handled,manejat
announcement,anunci
oath,jurament
mob,turba
cotton,cotó
deposit,dipòsit
taxes,impostos
injuries,lesions
jen,jen
autopsy,autòpsia
advise,aconsellar
gig,concert
lecture,Conferència
posted,publicat
skinny,prim
lo,hola
include,incloure
revealed,revelat
infected,infectat
relieved,alleujat
assistance,assistència
solo,en solitari
determine,determinar
terrorists,terroristes
elsewhere,en una altra part
lamp,llum
practical,pràctic
marked,marcat
adorable,adorable
rubber,goma d'esborrar
purple,porpra
operating,en funcionament
suite,suite
apologies,disculpes
personnel,personal
beam,biga
poet,poeta
samples,mostres
arrow,fletxa
counselor,conseller
carpet,catifa
allen,allen
audrey,audrey
spotted,tacat
floating,flotant
corrected,corregit
located,situat
journalist,periodista
insisted,va insistir
operator,operador
rely,confiar
singh,cantar
fooled,enganyat
arrives,arriba
i.d.,i.d.
leon,lleó
walt,Walt
eastern,oriental
ay,ai
shave,afaitar-se
remaining,restant
toss,tirar
anderson,anderson
lip,llavi
acid,àcid
nora,nora
si,si
december,desembre
anonymous,anònim
inn,fonda
planted,plantat
oldest,més antic
breast,pit
sixth,sisè
error,error
reporting,informes
egypt,Egipte
islands,illes
brother-in-law,cunyat
jules,jules
roommate,company de pis
sings,canta
scum,escombra
visitor,visitant
giggling,rient
described,descrit
geez,carai
inches,polzades
commitment,compromís
hercules,Hèrcules
react,reaccionar
cows,vaques
protest,protesta
misery,misèria
theft,robatori
embrace,abraçar
darn,maleït
harsh,dur
andrea,andrea
communicate,comunicar-se
fathers,pares
faithful,fidel
hector,hector
uh-uh,uh-uh
flame,flama
medal,medalla
silk,de seda
photographer,fotògraf
trevor,trevor
cemetery,cementiri
rear,posterior
freddy,freddy
banana,plàtan
allison,allison
emotion,emoció
chap,cap
dated,datat
excuses,excuses
shitty,merda
bin,paperera
jew,jueu
gum,xiclet
crushed,aixafat
efforts,esforços
content,contingut
corporal,corporal
realised,adonar-se'n
del,del
rap,rap
hopeless,sense esperança
debate,debat
era,era
luckily,per sort
ton,tona
liquid,líquid
swell,inflar
peggy,peggy
feast,festa
murphy,murphy
attracted,atret
application,aplicació
profession,professió
bench,banc
vanessa,vanessa
ahem,ejem
symptoms,símptomes
scout,explorador
crashed,es va estavellar
keen,entusiasmat
aircraft,avions
formed,format
hon,hon
aggressive,agressiu
pale,pàl·lid
significant,significatiu
duncan,duncan
clubs,clubs
visual,visual
embassy,ambaixada
defence,defensa
cabinet,gabinet
display,visualització
fame,fama
gibbs,gibbs
drowned,ofegat
wolves,llops
filming,rodatge
dunno,no sé
cursed,Maleït
twin,bessó
sorrow,pena
vault,volta
defeated,derrotat
watson,watson
quote,cita
penalty,penalització
bargain,negociació
pepper,pebre
speaker,altaveu
compare,comparar
satan,Satanàs
helmet,casc
scar,cicatriu
copies,còpies
fuss,enrenou
envelope,sobre
perry,perry
stinks,fa pudor
african,africana
arrangements,arranjaments
wished,desitjat
honored,honrat
believing,creient
discussed,discutit
assigned,assignat
rosa,rosa
oven,forn
jenna,Jenna
attacking,atacant
tin,llauna
sonic,sonor
collar,coll
mere,mera
romeo,romeu
belief,creença
storage,emmagatzematge
rusty,rovellat
psycho,psicològic
climbing,escalada
melissa,melissa
fears,pors
sum,suma
dedicated,dedicat
ladder,escala
alternative,alternativa
raid,raid
dining,menjador
ms,Senyora
corporate,corporatiu
folk,popular
jon,jon
replaced,reemplaçat
bailey,bailey
un,un
heels,talons
duties,deures
smarter,més intel·ligent
existed,existit
surprising,sorprenent
chess,escacs
requested,demanat
cruise,creuer
primary,primària
rhythm,ritme
drum,tambor
models,models
motorcycle,moto
adopted,adoptat
barrel,barril
cargo,càrrega
planets,planetes
shove,empènyer
wha,que
surprises,sorpreses
rosie,rosa
dings,abocaments
trailer,tràiler
cannon,canó
tables,taules
arse,cul
ally,aliat
lawrence,llorenç
wee,petit
tapes,cintes
dull,avorrit
sandra,sandra
teenage,adolescent
kent,kent
cooperate,cooperar
risks,riscos
dug,excavat
worthless,sense valor
arriving,arribant
kindness,bondat
ties,llaços
items,elements
and-,i-
grip,agafar
relations,relacions
rumor,rumor
skirt,faldilla
frog,granota
paige,paige
lloyd,lloyd
claimed,reclamat
perfume,perfum
instrumental,instrumental
flames,flames
association,Associació
loses,perd
january,gener
spike,Espiga
israel,israel
eleven,onze
gallery,galeria
ginger,gingebre
activities,activitats
iraq,Iraq
boarding,embarcament
fist,puny
stuffed,farcit
improve,millorar
creation,creació
connie,connie
infection,infecció
strikes,vagues
wiped,eixugat
tension,tensió
whistles,xiulets
kindly,amablement
certificate,certificat
curtis,curtis
bold,agosarat
threats,amenaces
claudia,claudia
sid,sid
twisted,retorçat
suspended,suspès
affected,afectats
envy,enveja
whale,balena
dial,marcar
cameron,cameron
martial,marcial
controlled,controlat
lung,pulmó
nigga,nigga
coal,carbó
upside,al revés
imperial,imperial
pam,pam
paranoid,paranoic
signing,signant
congress,congrés
villa,vila
candles,espelmes
filling,farciment
becky,becky
comic,còmic
faint,desmais
recovery,recuperació
volunteer,voluntari
tech,tecnologia
bleed,sagnar
positions,posicions
cindy,cindy
narrow,estret
forbid,prohibir
stuart,Stuart
perspective,perspectiva
faced,enfrontat
neat,net
pierce,perforar
observe,observar
cycle,cicle
psychic,psíquic
handling,maneig
goose,oca
accidentally,accidentalment
conclusion,conclusió
designer,dissenyador
sits,s'asseu
importance,importància
spots,taques
francs,francs
sweep,escombrar
destroying,destruint
communist,comunista
blackmail,xantatge
pacific,pacífic
risky,arriscat
glorious,gloriós
filed,arxivat
hatred,odi
cam,lleva
deals,ofertes
pos,pos
fooling,enganyar
persons,persones
scotch,escocès
executed,executat
brakes,frens
blank,en blanc
tender,tendre
kurt,kurt
turner,torner
tub,banyera
sucker,xuclador
slight,lleu
addition,addició
campus,campus